date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:36	3415279/3415279	---M--	200	added ('OK')	image/png	etag:%2264757356-341cef%22	http://www.varunbajaj.me/images/home/fall_guys_banner.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/fall_guys_banner.png	(from http://www.varunbajaj.me/)
12:51:42	779117/779117	---M--	200	added ('OK')	image/png	etag:%2264757356-be36d%22	http://www.varunbajaj.me/images/leveldesign/Stunner3.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/Stunner3.png	(from http://www.varunbajaj.me/)
12:52:01	111901/111901	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-1b51d%22	http://www.varunbajaj.me/images/leveldesign/l4.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/l4.jpg	(from http://www.varunbajaj.me/)
12:52:19	112512/112512	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-1b780%22	http://www.varunbajaj.me/images/leveldesign/l5.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/l5.jpg	(from http://www.varunbajaj.me/)
12:52:21	1554588/1554588	---M--	200	added ('OK')	image/png	etag:%2264757356-17b89c%22	http://www.varunbajaj.me/images/leveldesign/l2.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/l2.png	(from http://www.varunbajaj.me/)
12:52:32	65967/65967	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-101af%22	http://www.varunbajaj.me/images/home/gameplay.jpeg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/gameplay.jpg	(from http://www.varunbajaj.me/)
12:52:40	49628/49628	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-c1dc%22	http://www.varunbajaj.me/images/home/gamedesign.JPG	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/gamedesign.jpg	(from http://www.varunbajaj.me/)
12:52:51	64513/64513	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-fc01%22	http://www.varunbajaj.me/images/home/tempest.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/tempest.jpg	(from http://www.varunbajaj.me/)
12:52:56	32574/32574	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-7f3e%22	http://www.varunbajaj.me/images/home/maya.jpeg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/maya.jpg	(from http://www.varunbajaj.me/)
12:52:57	7006559/7006559	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-6ae95f%22	http://www.varunbajaj.me/images/home/sotremake.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/sotremake.jpg	(from http://www.varunbajaj.me/)
12:53:29	199180/199180	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-30a0c%22	http://www.varunbajaj.me/images/home/production_studio.jpeg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/production_studio.jpg	(from http://www.varunbajaj.me/)
12:53:37	51628/51628	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-c9ac%22	http://www.varunbajaj.me/images/home/me.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/me.jpg	(from http://www.varunbajaj.me/)
12:53:48	2231969/2231969	---M--	200	added ('OK')	image/png	etag:%2264757356-220ea1%22	http://www.varunbajaj.me/images/leveldesign/Far%20Cry%20Level%20Editor.PNG	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/Far%20Cry%20Level%20Editor.png	(from http://www.varunbajaj.me/)
12:54:10	198609/198609	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-307d1%22	http://www.varunbajaj.me/images/home/udemy-blueprint-gamedev.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/udemy-blueprint-gamedev.jpg	(from http://www.varunbajaj.me/)
12:54:23	77385/77385	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-12e49%22	http://www.varunbajaj.me/images/home/mit.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/mit.jpg	(from http://www.varunbajaj.me/)
12:54:23	217619/217619	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-35213%22	http://www.varunbajaj.me/images/home/udemy-leveldesign.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/udemy-leveldesign.jpg	(from http://www.varunbajaj.me/)
12:54:36	77798/77798	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-12fe6%22	http://www.varunbajaj.me/images/home/BEC.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/BEC.jpg	(from http://www.varunbajaj.me/)
12:54:42	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14915%22	https://code.jquery.com/jquery-2.1.1.min.js	D:/Study/kishan/PF/Kishan/code.jquery.com/jquery-2.1.1.min.js	(from http://www.varunbajaj.me/)
12:54:44	136160/136160	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-213e0%22	http://www.varunbajaj.me/images/home/ue4.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/ue4.jpg	(from http://www.varunbajaj.me/)
12:54:45	170/170	---M--	200	added ('OK')	application/javascript	etag:%2264757356-aa%22	http://www.varunbajaj.me/js/init.js	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/js/init.js	(from http://www.varunbajaj.me/)
12:54:45	907/907	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264757356-38b%22	http://www.varunbajaj.me/js/videoHelper.js	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/js/videoHelper.js	(from http://www.varunbajaj.me/)
12:54:49	21659/21659	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-549b%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Thin.eot	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Thin.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:54:53	21659/21659	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-549b%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Thin.eot?	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Thind41d.eot	(from http://www.varunbajaj.me/css/materialize.css)
